start loading dictionary

Dictionary(82256 unique tokens: [u'schlegel', u'katolikos', u'h\xf8yfjellet', u'naturlover', u'lakeier']...)
MmCorpus(69378 documents, 82256 features, 14061447 non-zero entries)
Based on LDA semantic coherence results:
(1280.4731118265338, 5878.893474514749, -29.063210445429387)
(2334.3215646088474, 7996.694409657318, -30.29451740451207)
(2186.698971108214, 7996.694409657318, -31.591152574457507)
(1649.8307309936479, 7996.694409657318, -33.16950813658089)
(1957.6658452695042, 7212.047843084268, -34.47350820742391)
(2034.192637881353, 7212.047843084268, -35.739162144528116)
(1696.6715951784859, 8999.81358023571, -37.40769756163224)
2 cohenrence: -37.4076975616
(1558.8478896649856, 7521.344079635996, -1.5737978398387698)
(1575.587149475793, 7521.344079635996, -3.136914699698253)
(1518.3397849156252, 7521.344079635996, -4.73704206452719)
(1459.6604635417186, 7521.344079635996, -6.376583071055913)
(683.7963661235575, 7521.344079635996, -8.774423043070579)
(2086.4834489421214, 7521.344079635996, -10.056687810487908)
(126.78167073417228, 7521.344079635996, -14.139721466470148)
(1306.3652757643363, 7521.344079635996, -15.890217640228826)
(56.42472800090596, 7521.344079635996, -20.78281027304607)
(1746.005093827235, 6024.21326910634, -22.02126679131511)
(1467.3228093190787, 6024.21326910634, -23.433614162217857)
(3382.0378223076364, 6024.21326910634, -24.01092262149858)
(3296.373375069856, 6024.21326910634, -24.613886627705014)
(1508.648608378788, 6024.21326910634, -25.998459232042748)
(21.95397797777924, 6024.21326910634, -31.61305305197672)
(4533.166756848475, 6024.21326910634, -31.897419186499786)
(13.953427292299933, 6024.21326910634, -37.96523619646311)
(4246.445580312519, 8445.09032653729, -38.65273914355584)
(1981.1795174072954, 8445.09032653729, -40.1026320064179)
(1293.8114149811076, 8445.09032653729, -41.978624805058764)
(3162.187213104957, 8445.09032653729, -42.96094610690611)
(429.14884185144973, 8445.09032653729, -45.940482822493536)
(1762.2469569700131, 8445.09032653729, -47.507478393672464)
(22.643151067939307, 8445.09032653729, -53.42896149362089)
(1717.7982763214889, 6719.672978905044, -54.79295758419104)
(1002.7555999273858, 6719.672978905044, -56.69524526346631)
(3522.695183222528, 6719.672978905044, -57.3410583792831)
(54.09679204259507, 6719.672978905044, -62.163078260478144)
(1412.3828042683103, 6719.672978905044, -63.72283953980895)
(79.35707878891132, 6719.672978905044, -68.161676655605)
(4448.735580639629, 9474.518366644543, -68.91766265664424)
(1778.0428259555852, 9474.518366644543, -70.5907553509135)
(77.59593992960103, 9474.518366644543, -75.39560144223015)
(4502.920098815265, 9474.518366644543, -76.13948126271774)
(13.491994646994048, 9474.518366644543, -82.69374593891472)
(719.1192407887733, 5811.911748239746, -84.7833835925707)
(16.104265386828473, 5811.911748239746, -90.67196426497952)
(3166.183634660405, 5811.911748239746, -91.27934686428706)
(12.206035367292252, 5811.911748239746, -97.44508117280576)
(29.227879025996828, 8160.162072716639, -103.07697746747522)
(1657.8494230722474, 8160.162072716639, -104.67072026393005)
(203.72273127685827, 8160.162072716639, -108.36097966460312)
(70.64432880329622, 1207.3716004035166, -111.19952287521329)
(1.0, 1207.3716004035166, -118.29572392001648)
(10.791019651951698, 7563.722036597422, -124.84812832639453)
3 cohenrence: -124.848128326
(3718.365345324544, 1033.8164730362168, 1.280026880305893)
(53.42096316404319, 1033.8164730362168, -1.6827824292345501)
(32.35769859431165, 1033.8164730362168, -5.1469430055008605)
(15.28714907813448, 1033.8164730362168, -9.360943006661353)
(62.717978517370675, 1033.8164730362168, -12.163307408496856)
(33.607296380046144, 1033.8164730362168, -15.589576758020945)
(15.73942352548709, 1033.8164730362168, -19.77442068759935)
(41.42808860104013, 1033.8164730362168, -22.991474115286444)
(19.826363724574506, 1033.8164730362168, -26.945474109093244)
(1.0, 661.3347867570903, -33.43973430598491)
(1.0, 661.3347867570903, -39.93399450287658)
(1.0, 661.3347867570903, -46.428254699768246)
(1.0, 661.3347867570903, -52.92251489665991)
(1.0, 661.3347867570903, -59.41677509355158)
(1.0, 661.3347867570903, -65.91103529044325)
(1.0, 661.3347867570903, -72.40529548733493)
(1.0, 661.3347867570903, -78.8995556842266)
(5501.445626678114, 4892.286615997622, -78.78220459013514)
(4443.141875971905, 4892.286615997622, -78.87850263904393)
(7502.914612864836, 4892.286615997622, -78.45087088376874)
(6895.55628680138, 4892.286615997622, -78.10765350086324)
(8037.855542871748, 4892.286615997622, -77.61115098159728)
(2116.1982241413443, 4892.286615997622, -78.44918959810752)
(9747.330615698409, 4892.286615997622, -77.75985593841293)
(4371.195053173139, 9606.300283701794, -78.54723866191434)
(5350.286220053986, 9606.300283701794, -79.13250776613074)
(6335.607276398169, 9606.300283701794, -79.54874125920016)
(5561.143122328438, 9606.300283701794, -80.09535673729766)
(2671.175101246522, 9606.300283701794, -81.37525741164914)
(5497.182035938169, 9606.300283701794, -81.93344097058143)
(5603.381137404539, 8232.818711025631, -82.3181992287809)
(4955.481238273709, 8232.818711025631, -82.82583339224306)
